date,business_name,category,city,contact_method,contact_info,web_presence_problem,template_used,followed_up,replied,status,notes
2026-07-07,Taqueria Casa Grande,restaurant,Cicero IL,instagram,@taqueriacasagrande,Instagram only - no website,,no,no,mockup_ready,"MOCKUP BUILT — lead with live link mockups/taqueria-casa-grande/. DM on Instagram"
2026-07-07,After Hours Auto Repair,auto repair,Cicero IL,phone,2934 S Laramie Ave (get # from Maps),no website found - only CARFAX listing,,no,no,mockup_ready,"MOCKUP BUILT — lead with live link mockups/after-hours-auto-repair/. 5.0 stars / 127 reviews - strongest lead. Family owned by two brothers, 20+ yrs"
2026-07-07,Michelle's Auto Repair & Body Shop,auto body,Cicero IL,phone,get # from Maps,no website found - only Carwise listing,,no,no,mockup_ready,"MOCKUP BUILT — lead with live link mockups/michelles-auto-repair/. Family-run since 2019, strong service reviews"
2026-07-07,Cielito Lindo Bakery,bakery,Cicero IL,facebook,facebook.com/CielitoLindoBakeryChicago,Facebook only - no website,,no,no,mockup_ready,"MOCKUP BUILT — lead with live link mockups/cielito-lindo-bakery/. Cakes & sweets; FB message"
2026-07-07,La Central Bakery,bakery,Cicero IL,phone,6034 W Cermak Rd (get # from Maps),no website found - Yelp listing only,,no,no,research,
2026-07-07,Cicero Bakery,bakery,Cicero IL,phone,4838 W Cermak Rd (get # from Maps),no website found - Yelp listing only,,no,no,research,
2026-07-07,El Taco De Jalisco,restaurant,Cicero IL,phone,get # from Maps,no website found - Yelp listing only,,no,no,research,
2026-07-07,Taqueria La Chiquita,restaurant,Cicero IL,phone,get # from Maps,no own website found - directory listings only,,no,no,research,"Well-reviewed traditional spot"
2026-07-07,Taqueria Los Altos De Jalisco,restaurant,Cicero IL,phone,1922 S Cicero Ave (get # from Maps),generic auto-generated menu page (res-menu.net) - not a real site,,no,no,mockup_ready,"MOCKUP BUILT — lead with live link mockups/taqueria-los-altos-de-jalisco/. Angle: 'your menu page isn't showing up as YOUR website'"
2026-07-07,Taqueria Aguascalientes,restaurant,Cicero IL,phone,2106 S Cicero Ave (get # from Maps),auto-generated .shop menu page - not a real site,,no,no,research,"40+ year Chicago-area staple; big credibility, weak web"
